Vissa EG-relaterade frågor ;Bilaga//NN|UTR|SIN|IND|NOM//ROOT//0 3//RG|NOM//nummod//0
Vissa EG-relaterade frågor ;Av//PP//case//1 intresse//NN|NEU|SIN|IND|NOM//obl//17 för//PP//case//3 skattesatsfrågan//NN|UTR|SIN|DEF|NOM//nmod//1 är//VB|PRS|AKT//cop//1 vidare//AB|KOM//advmod//1 att//SN//mark//10 det//DT|NEU|SIN|DEF//det//9 andra//RO|NOM//amod//9 direktivet//NN|NEU|SIN|DEF|NOM//nsubj//10 lade//VB|PRT|AKT//csubj//1 fast//PL//compound:prt//10 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 regler//NN|UTR|PLU|IND|NOM//obj//10 .//MAD//punct//1
Vissa EG-relaterade frågor ;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//17 innebar//VB|PRT|AKT//ROOT//17 dels//KN//advmod//17 att//SN//mark//23 samma//DT|UTR/NEU|SIN/PLU|IND//det//21 normalskattesats//NN|UTR|SIN|IND|NOM//nsubj:pass//23 skulle//VB|PRT|AKT//aux//23 tillämpas//VB|INF|SFO//ccomp//17 för//PP//case//26 både//KN//cc//26 tillhandahållande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//23 av//PP//case//28 varor//NN|UTR|PLU|IND|NOM//nmod//26 och//KN//cc//31 av//PP//case//31 tjänster//NN|UTR|PLU|IND|NOM//conj//28 dels//KN//advmod//42 att//SN//mark//42 den//DT|UTR|SIN|DEF//det//35 skattesats//NN|UTR|SIN|IND|NOM//nsubj:pass//42 som//HP|-|-|-//nsubj:pass//37 tillämpades//VB|PRT|SFO//acl:relcl//35 inom//PP//case//39 landet//NN|NEU|SIN|DEF|NOM//obl//37 även//AB//advmod//42 skulle//VB|PRT|AKT//aux//42 tillämpas//VB|INF|SFO//advcl//17 vid//PP//case//44 import//NN|UTR|SIN|IND|NOM//obl//42 .//MID//punct//17
Vissa EG-relaterade frågor ;Dessutom//AB//advmod//52 fick//VB|PRT|AKT//aux//52 den//DT|UTR|SIN|DEF//det//50 reducerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//50 skattesatsen//NN|UTR|SIN|DEF|NOM//nsubj:pass//52 inte//AB//advmod//52 sättas//VB|INF|SFO//conj//17 så//AB//advmod//54 lågt//AB|POS//advmod//52 att//SN//mark//59 företaget//NN|NEU|SIN|DEF|NOM//nsubj//59 normalt//AB|POS//advmod//59 skulle//VB|PRT|AKT//aux//59 få//VB|INF|AKT//acl//54 tillbaka//PL//compound:prt//59 mer//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//62 moms//NN|UTR|SIN|IND|NOM//obj//59 än//SN//mark//65 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//65 betalat//VB|SUP|AKT//acl//62 in//PL//compound:prt//65 (//PAD//punct//17 se//VB|IMP|AKT//parataxis//17 vidare//AB|KOM//advmod//68 kap.//NN|AN//nmod//71 4.3.6//RG|NOM//obj//68 )//PAD//punct//17 .//MAD//punct//17
Vissa EG-relaterade frågor ;Avsikten//NN|UTR|SIN|DEF|NOM//nsubj//9 med//PP//case//6 det//DT|NEU|SIN|DEF//det//6 första//RO|NOM//amod//6 och//KN//cc//5 andra//RO|NOM//conj//3 direktivet//NN|NEU|SIN|DEF|NOM//nmod//0 var//VB|PRT|AKT//cop//9 att//IE//mark//9 införa//VB|INF|AKT//ROOT//9 mervärdesskatteprincipen//NN|UTR|SIN|DEF|NOM//obj//9 för//PP//mark//13 att//IE//mark//13 komma//VB|INF|AKT//advcl//9 till//PP//compound:prt//13 rätta//NN|UTR|-|-|-//fixed//14 med//PP//case//17 konkurrensneutralitetsproblem//NN|NEU|PLU|IND|NOM//obl//13 med//PP//case//20 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 skattesystem//NN|NEU|SIN|IND|NOM//nmod//17 .//MAD//punct//9
Vissa EG-relaterade frågor ;Någon//DT|UTR|SIN|IND//det//24 fullständig//JJ|POS|UTR|SIN|IND|NOM//amod//24 harmonisering//NN|UTR|SIN|IND|NOM//obj//9 av//PP//mark//28 t.ex.//AB|AN//advmod//27 skattesatserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//28 eftersträvades//VB|PRT|SFO//acl//24 inte//AB//advmod//28 .//MAD//punct//9
Vissa EG-relaterade frågor ;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//34 kan//VB|PRS|AKT//aux//34 också//AB//advmod//34 konstateras//VB|INF|SFO//parataxis//9 att//SN//mark//47 artikel//NN|UTR|SIN|IND|NOM//nmod//37 93//RG|NOM//nsubj//47 i//PP//case//39 EG-fördraget//NN|NEU|SIN|DEF|NOM//nmod//37 som//HP|-|-|-//nsubj//41 utgör//VB|PRS|AKT//acl:relcl//39 grunden//NN|UTR|SIN|DEF|NOM//obj//41 för//PP//case//44 sekundärrätten//NN|UTR|SIN|DEF|NOM//obl//41 inte//AB//advmod//47 heller//AB//advmod//47 ger//VB|PRS|AKT//dep//34 uttryck//NN|NEU|SIN|IND|NOM//obj//47 för//PP//mark//57 att//SN//mark//57 en//DT|UTR|SIN|IND//det//53 total//JJ|POS|UTR|SIN|IND|NOM//amod//53 samordning//NN|UTR|SIN|IND|NOM//nsubj:pass//57 av//PP//case//55 skattesatserna//NN|UTR|PLU|DEF|NOM//nmod//53 skulle//VB|PRT|AKT//aux//57 erfordras//VB|INF|SFO//advcl//47 .//MAD//punct//59
Vissa EG-relaterade frågor ;Bestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//67 om//PP//case//61 harmonisering//NN|UTR|SIN|IND|NOM//nmod//59 av//PP//case//63 mervärdesskatten//NN|UTR|SIN|DEF|NOM//nmod//61 skall//VB|PRS|AKT//aux//67 enligt//PP//case//66 artikeln//NN|UTR|SIN|DEF|NOM//obl//67 antas//VB|PRS|SFO//conj//34 i//PP//case//70 den//DT|UTR|SIN|DEF//det//70 mån//NN|UTR|SIN|IND|NOM//obl//67 en//DT|UTR|SIN|IND//det//73 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//73 harmonisering//NN|UTR|SIN|IND|NOM//nsubj//75 är//VB|PRS|AKT//cop//75 nödvändig//JJ|POS|UTR|SIN|IND|NOM//conj//67  //_SP////75 för//PP//mark//79 att//IE//mark//79 säkerställa//VB|INF|AKT//advcl//75 att//SN//mark//84 den//DT|UTR|SIN|DEF//det//83 inre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//83 marknaden//NN|UTR|SIN|DEF|NOM//nsubj:pass//84 upprättas//VB|PRS|SFO//ccomp//79 och//KN//cc//86 fungerar//VB|PRS|AKT//conj//84 .//MAD//punct//9
Vissa EG-relaterade frågor ;Det//DT|NEU|SIN|DEF//det//2 sjätte//RO|NOM//amod//2 mervärdesskattedirektivet//NN|NEU|SIN|DEF|NOM//ROOT//2 (//PAD//punct//2 1977//RG|NOM//nummod//2 )//PAD//punct//2
Vissa EG-relaterade frågor ;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 framgår//VB|PRS|AKT//ROOT//1 inte//AB//advmod//1 att//SN//mark//5 skattesatsfrågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//5 diskuterades//VB|PRT|SFO//csubj//1 i//PP//case//9 någon//DT|UTR|SIN|IND//det//9 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 omfattning//NN|UTR|SIN|IND|NOM//obl//5 i//PP//case//11 arbetet//NN|NEU|SIN|DEF|NOM//nmod//9 med//PP//mark//14 att//IE//mark//14 ta//VB|INF|AKT//advcl//5 fram//PL//compound:prt//14 det//DT|NEU|SIN|DEF//det//18 sjätte//RO|NOM//amod//18 mervärdesskattedirektivet//NN|NEU|SIN|DEF|NOM//obj//14 (//PAD//punct//18 77/388//RG|NOM//appos//18 ///MID//cc//22 EEG//NN|AN//conj//20 )//PAD//punct//1 .//MAD//punct//1
Vissa EG-relaterade frågor ;När//HA//mark//2 direktivet//NN|NEU|SIN|DEF|NOM//nsubj:pass//2 antogs//VB|PRT|SFO//advcl//3 återfanns//VB|PRT|SFO//ROOT//3 i//PP//case//7 artikel//NN|UTR|SIN|IND|NOM//nmod//6 12//RG|NOM//nummod//7 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//obl//3 av//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 regler//NN|UTR|PLU|IND|NOM//nmod//7 som//HP|-|-|-//nsubj//14 redan//AB//advmod//14 tidigare//AB|KOM//advmod//14 gällt//VB|SUP|AKT//acl:relcl//10 genom//PP//case//20 det//DT|NEU|SIN|DEF//det//20 första//RO|NOM//amod//20 och//KN//cc//19 andra//RO|NOM//conj//17 direktivet//NN|NEU|SIN|DEF|NOM//obl//14 .//MAD//punct//3
Vissa EG-relaterade frågor ;Normalskattesatsen//NN|UTR|SIN|DEF|NOM//nsubj//27 skulle//VB|PRT|AKT//aux//27 enligt//PP//case//25 bestämmelsen//NN|UTR|SIN|DEF|NOM//obl//27 vara//VB|INF|AKT//cop//27 lika//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//3 för//PP//case//29 leverans//NN|UTR|SIN|IND|NOM//obl//27 av//PP//case//31 varor//NN|UTR|PLU|IND|NOM//nmod//29 och//KN//cc//33 tillhandahållande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//31 av//PP//case//35 tjänster//NN|UTR|PLU|IND|NOM//obl//33 .//MAD//punct//27
Vissa EG-relaterade frågor ;Tillhandahållanden//NN|NEU|PLU|IND|NOM//nsubj:pass//39 fick//VB|PRT|AKT//aux//39 beskattas//VB|INF|SFO//conj//3 med//PP//case//44 förhöjda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//44 eller//KN//cc//43 reducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//41 skattesatser//NN|UTR|PLU|IND|NOM//obl//39 .//MAD//punct//39
Vissa EG-relaterade frågor ;Om//SN//mark//49 reducerad//PC|PRF|UTR|SIN|IND|NOM//amod//48 skattesats//NN|UTR|SIN|IND|NOM//nsubj:pass//49 infördes//VB|PRT|SFO//advcl//53 skulle//VB|PRT|AKT//aux//53 varje//DT|UTR/NEU|SIN|IND//det//52 skattesats//NN|UTR|SIN|IND|NOM//nsubj:pass//53 bestämmas//VB|INF|SFO//advcl//39 på//PP//case//56 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//56 sätt//NN|NEU|SIN|IND|NOM//obl//53 att//IE//mark//73 från//PP//case//60 det//DT|NEU|SIN|DEF//det//60 belopp//NN|NEU|SIN|IND|NOM//obl//73 av//PP//case//62 mervärdesskatt//NN|UTR|SIN|IND|NOM//nmod//60 som//HP|-|-|-//nsubj//64 följer//VB|PRS|AKT//acl:relcl//62 av//PP//compound:prt//64 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//67 tillämpning//NN|UTR|SIN|IND|NOM//obj//64 på//PP//case//70 normalt//JJ|POS|NEU|SIN|IND|NOM//amod//70 sätt//NN|NEU|SIN|IND|NOM//nmod//67 skulle//VB|PRT|AKT//aux//73 kunna//VB|INF|AKT//aux//73 dra//VB|INF|AKT//acl//56 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//76 den//DT|UTR|SIN|DEF//det//76 mervärdesskatt//NN|UTR|SIN|IND|NOM//obj//73 som//HP|-|-|-//nsubj//79 var//VB|PRT|AKT//cop//79 avdragsgill//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//76 .//MAD//punct//3
Vissa EG-relaterade frågor ;Den//DT|UTR|SIN|DEF//det//82 skattesats//NN|UTR|SIN|IND|NOM//appos//3 som//HP|-|-|-//nsubj//85 var//VB|PRT|AKT//cop//85 tillämplig//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//82 på//PP//case//82
Vissa EG-relaterade frågor ;införsel//NN|UTR|SIN|IND|NOM//nsubj//5 av//PP//case//2 varor//NN|UTR|PLU|IND|NOM//nmod//0 skulle//VB|PRT|AKT//aux//5 vara//VB|INF|AKT//cop//5 den//PN|UTR|SIN|DEF|SUB/OBJ//ROOT//5 som//HP|-|-|-//nsubj:pass//7 tillämpades//VB|PRT|SFO//acl:relcl//5 på//PP//case//9 leverans//NN|UTR|SIN|IND|NOM//obl//7 av//PP//case//12 liknade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//12 varor//NN|UTR|PLU|IND|NOM//nmod//9 inom//PP//case//15 landets//NN|NEU|SIN|DEF|GEN//nmod:poss//15 territorium//NN|NEU|SIN|IND|NOM//nmod//9 .//MAD//punct//5
Vissa EG-relaterade frågor ;I//PP//case//2 artikel//NN|UTR|SIN|IND|NOM//nmod//2 28//RG|NOM//obl//6 i//PP//case//5 sjätte//RO|NOM//amod//5 direktivet//NN|NEU|SIN|DEF|NOM//nmod//2 infördes//VB|PRT|SFO//ROOT//6 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 övergångsbestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//6 .//MAD//punct//6
Vissa EG-relaterade frågor ;I//PP//case//11 punkten//NN|UTR|SIN|DEF|NOM//obl//13 2//RG|NOM//nummod//11 uttalas//VB|PRS|SFO//parataxis//6 att//SN//nsubj:pass//13 ://MAD//punct//6
Vissa EG-relaterade frågor ;De//DT|UTR/NEU|PLU|DEF//det//1 regler//NN|UTR|PLU|IND|NOM//nsubj:pass//45 om//PP//case//4 nedsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//4 skattesatser//NN|UTR|PLU|IND|NOM//nmod//1 och//KN//cc//7 om//PP//case//7 undantag//NN|NEU|SIN|IND|NOM//conj//4 med//PP//case//9 återbetalning//NN|UTR|SIN|IND|NOM//nmod//7 av//PP//case//11 skatt//NN|UTR|SIN|IND|NOM//nmod//9 i//PP//case//14 föregående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 led//NN|NEU|SIN|IND|NOM//nmod//7 som//HP|-|-|-//nsubj//16 var//VB|PRT|AKT//acl:relcl//1 i//PP//advmod//1 kraft//NN|UTR|SIN|IND|NOM//fixed//17 den//DT|UTR|SIN|DEF//det//21 31//RG|NOM//nummod//21 december//NN|UTR|SIN|IND|NOM//nmod//1 1975//RG|NOM//nummod//21 och//KN//cc//25 som//HP|-|-|-//nsubj//25 uppfyller//VB|PRS|AKT//acl:relcl//1 villkoren//NN|NEU|PLU|DEF|NOM//obj//25 i//PP//case//30 den//DT|UTR|SIN|DEF//det//30 sista//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//30 strecksatsen//NN|UTR|SIN|DEF|NOM//nmod//26 i//PP//case//33 artikel//NN|UTR|SIN|IND|NOM//nmod//33 17//RG|NOM//nmod//30 i//PP//case//37 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//37 andra//RO|NOM//amod//37 direktiv//NN|NEU|PLU|IND|NOM//nmod//30 av//PP//case//41 den//DT|UTR|SIN|DEF//det//41 11//RG|NOM//nummod//41 april//NN|UTR|SIN|IND|NOM//nmod//37 1967//RG|NOM//nummod//41 ,//MID//punct//1 får//VB|PRS|AKT//aux//45 vidmakthållas//VB|INF|SFO//ROOT//45 fram//PL//compound:prt//45 till//PP//case//49 en//DT|UTR|SIN|IND//det//49 dag//NN|UTR|SIN|IND|NOM//obl//45 som//HP|-|-|-//mark//52 rådet//NN|NEU|SIN|DEF|NOM//nsubj//52 enhälligt//AB|POS//acl:relcl//49 på//PP//case//55 kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//55 förslag//NN|NEU|SIN|IND|NOM//obl//52 skall//VB|PRS|AKT//aux//57 fastställa//VB|INF|AKT//advcl//45 men//KN//cc//63 som//HP|-|-|-//nsubj//63 inte//AB//advmod//63 får//VB|PRS|AKT//aux//63 vara//VB|INF|AKT//cop//63 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//45 än//KN//case//66 den//DT|UTR|SIN|DEF//det//66 dag//NN|UTR|SIN|IND|NOM//obl//63 då//HA//advmod//83 påförandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//83 av//PP//case//70 skatt//NN|UTR|SIN|IND|NOM//nmod//68 vid//PP//case//72 införsel//NN|UTR|SIN|IND|NOM//nmod//70 och//KN//cc//74 restitution//NN|UTR|SIN|IND|NOM//conj//72 av//PP//case//76 skatt//NN|UTR|SIN|IND|NOM//nmod//74 på//PP//case//78 utförseln//NN|UTR|SIN|DEF|NOM//nmod//76 i//PP//case//80 handeln//NN|UTR|SIN|DEF|NOM//nmod//78 mellan//PP//case//82 medlemsstaterna//NN|UTR|PLU|DEF|NOM//nmod//80 avskaffas//VB|PRS|SFO//acl:relcl//66 .//MAD//punct//45
