6 Beskattningsregler och skattekontroll ;Innehållet//NN|NEU|SIN|DEF|NOM//nsubj//4 i//PP//case//3 detta//DT|NEU|SIN|DEF//det//3 kapitel//NN|NEU|SIN|IND|NOM//nmod//0 bygger//VB|PRS|AKT//ROOT//4 i//PP//case//7 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 delar//NN|UTR|PLU|IND|NOM//obl//4 på//PP//case//10 Riksskatteverkets//PM|GEN//nmod:poss//10 Handledning//NN|UTR|SIN|IND|NOM//nmod//7 för//PP//case//12 punktskatter//NN|UTR|PLU|IND|NOM//nmod//10 1997//RG|NOM//nummod//12 .//MAD//punct//4
6 Beskattningsregler och skattekontroll ;"6.1//RG|NOM//nummod//15 Beskattningsmyndighet//NN|UTR|SIN|IND|NOM//nsubj:pass//2 för//PP//case//17 punktskatter//NN|UTR|PLU|IND|NOM//nmod//15 ;//MID//punct//19"
6 Beskattningsregler och skattekontroll ;nuläge//NN|NEU|SIN|IND|NOM//conj//15 och//KN//cc//22 kommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 förändringar//NN|UTR|PLU|IND|NOM//conj//19
6 Beskattningsregler och skattekontroll ;Sedan//PP//case//1 beslutet//NN|NEU|SIN|DEF|NOM//obl//38 för//PP//case//4 några//DT|UTR/NEU|PLU|IND//det//4 år//NN|NEU|PLU|IND|NOM//nmod//1 sedan//AB//mark//7 att//IE//mark//7 lägga//VB|INF|AKT//advcl//1 på//PL//compound:prt//7 Skattemyndigheten//PM|NOM//obj//7 i//PP//case//12 Kopparbergs//PM|GEN//nmod:poss//12 län//NN|NEU|SIN|IND|NOM//obl//7 ,//MID//punct//1 numera//AB//advmod//15 Skattemyndigheten//NN|UTR|SIN|DEF|NOM//nsubj//33 i//PP//case//17 Gävle//PM|NOM//nmod//15 (//PAD//punct//15 med//PP//case//20 handläggning//NN|UTR|SIN|IND|NOM//nmod//15 av//PP//case//23 Särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//23 skattekontoret//NN|NEU|SIN|DEF|NOM//nmod//20 ,//MID//punct//25 Ludvika//PM|NOM//conj//23 )//PAD//punct//20 ,//MID//punct//15 att//IE//mark//29 ha//VB|INF|AKT//acl//15 hand//NN|UTR|SIN|IND|NOM//compound:prt//29 om//PP//case//32 punktskatteverksamheten//NN|UTR|SIN|DEF|NOM//obl//29 har//VB|PRS|AKT//aux//38 förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//38 för//PP//case//37 denna//DT|UTR|SIN|DEF//det//37 verksamhet//NN|UTR|SIN|IND|NOM//nmod//34 ändrats//VB|SUP|SFO//advcl//67 på//PP//case//41 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//41 punkter//NN|UTR|PLU|IND|NOM//obl//38 .//MAD//punct//38
6 Beskattningsregler och skattekontroll ;Statskontoret//NN|NEU|SIN|DEF|NOM//nsubj//44 har//VB|PRS|AKT//aux//48 på//PP//case//47 Finansdepartementets//NN|NEU|SIN|DEF|GEN//nmod:poss//47 uppdrag//NN|NEU|SIN|IND|NOM//obl//48 utrett//VB|SUP|AKT//parataxis//38 frågan//NN|UTR|SIN|DEF|NOM//obj//48 om//PP//case//53 punktskatteverksamhetens//NN|UTR|SIN|DEF|GEN//nmod:poss//53 organisatoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//53 inplacering//NN|UTR|SIN|IND|NOM//nmod//49 i//PP//case//55 skatteförvaltningen//NN|UTR|SIN|DEF|NOM//nmod//53 .//MAD//punct//38
6 Beskattningsregler och skattekontroll ;I//PP//case//58 rapporten//NN|UTR|SIN|DEF|NOM//nmod//59 Punktskatteorganisationen//NN|UTR|SIN|DEF|NOM//obl//38 inom//PP//case//61 skatteförvaltningen//NN|UTR|SIN|DEF|NOM//obl//38 (//PAD//punct//38 1999:19//RG|NOM//appos//38 )//PAD//punct//38 har//VB|PRS|AKT//aux//67 Statskontoret//NN|NEU|SIN|DEF|NOM//nsubj//67 redovisat//VB|SUP|AKT//ROOT//67 sin//PS|UTR|SIN|DEF//nmod:poss//69 bedömning//NN|UTR|SIN|IND|NOM//obj//67 att//SN//mark//72 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//72 finns//VB|PRS|SFO//advcl//67 skäl//NN|NEU|PLU|IND|NOM//nsubj//72 att//IE//mark//75 ändra//VB|INF|AKT//acl//73 den//DT|UTR|SIN|DEF//det//78 formella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//78 organisationen//NN|UTR|SIN|DEF|NOM//obj//75 .//MAD//punct//67
6 Beskattningsregler och skattekontroll ;Härvid//AB//advmod//82 har//VB|PRS|AKT//aux//82 diskuterats//VB|SUP|SFO//conj//67 dels//KN//advmod//85 ett//DT|NEU|SIN|IND//det//85 inordnande//NN|NEU|SIN|IND|NOM//xcomp//82 i//PP//case//87 Riksskatteverket//NN|NEU|SIN|DEF|NOM//nmod//85 ,//MID//punct//90 dels//KN//advmod//90 inrättande//NN|NEU|SIN|IND|NOM//appos//85 av//PP//case//94 en//DT|UTR|SIN|IND//det//94 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//94 punktskattemyndighet//NN|UTR|SIN|IND|NOM//nmod//90 .//MAD//punct//82
6 Beskattningsregler och skattekontroll ;Statskontoret//NN|NEU|SIN|DEF|NOM//nsubj//98 har//VB|PRS|AKT//aux//98 stannat//VB|SUP|AKT//parataxis//82 vid//PP//mark//101 att//IE//mark//101 föreslå//VB|INF|AKT//advcl//98 det//DT|NEU|SIN|DEF//det//104 förstnämnda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//104 alternativet//NN|NEU|SIN|DEF|NOM//obj//101 .//MAD//punct//67
6 Beskattningsregler och skattekontroll ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//aux//7 i//PP//case//3 budgetpropositionen//NN|UTR|SIN|DEF|NOM//obl//7 för//PP//case//6 år//NN|NEU|SIN|IND|NOM//nmod//6 2000//RG|NOM//nmod//3 lämnat//VB|SUP|AKT//ROOT//7 förslag//NN|NEU|SIN|IND|NOM//obj//7 i//PP//mark//14 enlighet//NN|UTR|SIN|IND|NOM//fixed//9 med//PP//fixed//9 vad//HP|NEU|SIN|IND//obj//14 Statskontoret//NN|NEU|SIN|DEF|NOM//nsubj//14 förordat//VB|SUP|AKT//advcl//7 .//MAD//punct//7
6 Beskattningsregler och skattekontroll ;Inordnandet//NN|NEU|SIN|DEF|NOM//nsubj//19 i//PP//case//18 Rikskatteverket//NN|NEU|SIN|DEF|NOM//nmod//16 förelås//VB|INF|SFO//parataxis//7 ske//VB|INF|AKT//xcomp//19 fr.o.m.//AB|AN//case//24 den//DT|UTR|SIN|DEF//det//24 1//RO|NOM//nummod//24 juli//NN|UTR|SIN|IND|NOM//obl//20 2000//RG|NOM//nummod//24 .//MAD//punct//7
6 Beskattningsregler och skattekontroll ;Riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//29 har//VB|PRS|AKT//aux//29 beslutat//VB|SUP|AKT//conj//7 i//PP//case//34 enlighet//NN|UTR|SIN|IND|NOM//fixed//30 med//PP//fixed//30 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 förslag//NN|NEU|SIN|IND|NOM//obl//29 .//MAD//punct//29
6 Beskattningsregler och skattekontroll ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 har//VB|PRS|AKT//aux//54 i//PP//case//3 propositionen//NN|UTR|SIN|DEF|NOM//obl//1 1999/2000:105//RG|NOM//punct//1 Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 punktskattefrågor//NN|UTR|PLU|IND|NOM//nsubj//7 lämnat//VB|SUP|AKT//conj//1 förslag//NN|NEU|PLU|IND|NOM//obj//7 till//PP//case//10 lagändringar//NN|UTR|PLU|IND|NOM//nmod//8 som//HP|-|-|-//nsubj:pass//12 föranleds//VB|PRS|SFO//acl:relcl//10 av//PP//case//17 riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//17 nyss//AB//advmod//16 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//17 beslut//NN|NEU|SIN|IND|NOM//obl//12 .//MAD//punct//1
6 Beskattningsregler och skattekontroll ;Överföringen//NN|UTR|SIN|DEF|NOM//nsubj//27 av//PP//case//21 punktskatteverksamheten//NN|UTR|SIN|DEF|NOM//nmod//19 till//PP//case//23 Riksskatteverket//NN|NEU|SIN|DEF|NOM//nmod//21 har//VB|PRS|AKT//aux//27 ansetts//VB|SUP|SFO//aux//27 böra//VB|INF|AKT//aux//27 innefatta//VB|INF|AKT//conj//1 ,//MID//punct//27 med//PP//case//31 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 undantag//NN|NEU|PLU|IND|NOM//obl//27 ,//MID//punct//31 även//AB//advmod//36 de//DT|UTR/NEU|PLU|DEF//det//36 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 funktioner//NN|UTR|PLU|IND|NOM//appos//31 som//HP|-|-|-//nsubj//43 det//DT|NEU|SIN|DEF//det//40 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//40 skattekontoret//NN|NEU|SIN|DEF|NOM//nsubj//43 i//PP//case//42 Ludvika//PM|NOM//nmod//40 har//VB|PRS|AKT//acl:relcl//36 .//MAD//punct//1
6 Beskattningsregler och skattekontroll ;Även//AB//advmod//49 om//SN//fixed//45 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//45 på//PP//case//49 Riksskatteverket//NN|NEU|SIN|DEF|NOM//obl//54 såsom//KN//mark//51 beskattningsmyndighet//NN|UTR|SIN|IND|NOM//nsubj//54 kommer//VB|PRS|AKT//aux//54 att//IE//mark//54 ligga//VB|INF|AKT//ROOT//54 att//IE//mark//56 ha//VB|INF|AKT//xcomp//54 hand//NN|UTR|SIN|IND|NOM//compound:prt//56 om//PP//case//72 bl.a.//AB|AN//advmod//60 frågor//NN|UTR|PLU|IND|NOM//nsubj//72 om//PP//case//62 godkännande//NN|NEU|SIN|IND|NOM//nmod//60 av//PP//case//64 upplagshavare//NN|UTR|PLU|IND|NOM//nmod//62 och//KN//cc//66 skatteupplag//NN|NEU|SIN|IND|NOM//conj//64 enligt//PP//case//68 lagen//NN|UTR|SIN|DEF|NOM//nmod//66 om//PP//case//70 alkoholskatt//NN|UTR|SIN|IND|NOM//nmod//60 är//VB|PRS|AKT//cop//60 utgångspunkten//NN|UTR|SIN|DEF|NOM//obj//54 dock//AB//advmod//54 att//SN//mark//76 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj//76 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//54 dessa//DT|UTR/NEU|PLU|DEF//det//78 frågor//NN|UTR|PLU|IND|NOM//obj//76 även//AB//advmod//81 i//PP//case//81 fortsättningen//NN|UTR|SIN|DEF|NOM//obl//84 skall//VB|PRS|AKT//aux//84 vara//VB|INF|AKT//cop//84 lokaliserad//PC|PRF|UTR|SIN|IND|NOM//amod//78 till//PP//case//86 Ludvika//PM|NOM//obl//84 .//MAD//punct//76
6 Beskattningsregler och skattekontroll ;Någon//PN|UTR|SIN|IND|SUB/OBJ//det//7 i//PP//case//5 förhållande//NN|NEU|SIN|IND|NOM//fixed//1 till//PP//case//5 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 förslag//NN|NEU|PLU|IND|NOM//obl//6 ändrad//PC|PRF|UTR|SIN|IND|NOM//amod//7 tidpunkt//NN|UTR|SIN|IND|NOM//nsubj:pass//18 för//PP//case//10 Riksskatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//10 övertagande//NN|NEU|SIN|IND|NOM//nmod//7 av//PP//case//12 funktionen//NN|UTR|SIN|DEF|NOM//nmod//10 som//KN//mark//14 beskattningsmyndighet//NN|UTR|SIN|IND|NOM//nmod//10 för//PP//case//16 punktskatter//NN|UTR|PLU|IND|NOM//nmod//14 ,//MID//punct//18 föreslås//VB|PRS|SFO//ROOT//18 inte//AB//advmod//18 .//MAD//punct//18
6 Beskattningsregler och skattekontroll ;Verket//NN|NEU|SIN|DEF|NOM//nsubj:pass//22 föreslås//VB|PRS|SFO//parataxis//18 således//AB//advmod//22 träda//VB|INF|AKT//xcomp//22 in//PL//compound:prt//24 i//PP//case//29 sin//PS|UTR|SIN|DEF//nmod:poss//29 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 roll//NN|UTR|SIN|IND|NOM//obl//24 den//DT|UTR|SIN|DEF//det//32 1//RO|NOM//nummod//32 juli//NN|UTR|SIN|IND|NOM//obl//24 2000//RG|NOM//nummod//32 .//MAD//punct//18
6 Beskattningsregler och skattekontroll ;Redovisningen//NN|UTR|SIN|DEF|NOM//nsubj//7 i//PP//case//3 detta//DT|NEU|SIN|DEF//det//3 kapitel//NN|NEU|SIN|IND|NOM//nmod//0 av//PP//case//5 beskattningsreglerna//NN|UTR|PLU|DEF|NOM//nmod//3 m.m.//AB|AN//nmod//3 bygger//VB|PRS|AKT//ROOT//7 på//PP//case//9 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//7 i//PP//case//14 dessas//PS|UTR/NEU|SIN/PLU|DEF//fixed//10 f.n.//AB|AN//advmod//14 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 lydelse//NN|UTR|SIN|IND|NOM//obl//7 .//MAD//punct//14
6 Beskattningsregler och skattekontroll ;6.2//RG|NOM//nummod//17 Allmänt//AB|POS//appos//14 om//PP//case//19 reglerna//NN|UTR|PLU|DEF|NOM//nmod//17 på//PP//case//21 beskattningsområdet//NN|NEU|SIN|DEF|NOM//nmod//19 6.2.1//RG|NOM//conj//7 Något//PN|NEU|SIN|IND|SUB/OBJ//obj//22 om//PP//compound:prt//22  //_SP////24 EG-rätten//NN|UTR|SIN|DEF|NOM//obl//22
6 Beskattningsregler och skattekontroll ;Inom//PP//case//1 EG//PM|NOM//obl//2 finns//VB|PRS|SFO//ROOT//2 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//2 för//PP//case//6 punktskatterna//NN|UTR|PLU|DEF|NOM//obl//2 på//PP//case//8 tobak//NN|UTR|SIN|IND|NOM//obl//2 ,//MID//punct//10 alkohol//NN|UTR|SIN|IND|NOM//conj//8 och//KN//cc//12 oljeprodukter//NN|UTR|PLU|IND|NOM//conj//8 ,//MID//punct//17 de//DT|UTR/NEU|PLU|DEF//det//17 s.k.//AB|AN//amod//17 harmoniserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//17 punktskatterna//NN|UTR|PLU|DEF|NOM//nsubj//2 .//MAD//punct//2
6 Beskattningsregler och skattekontroll ;Dessa//DT|UTR/NEU|PLU|DEF//det//20 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//21 finns//VB|PRS|SFO//parataxis//2 bl.a.//AB|AN//advmod//21 i//PP//case//26 form//NN|UTR|SIN|IND|NOM//fixed//23 av//PP//fixed//23 direktiv//NN|NEU|PLU|IND|NOM//obl//21 från//PP//case//30 Europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 unionens//NN|UTR|SIN|DEF|GEN//nmod:poss//30 råd//NN|NEU|PLU|IND|NOM//obl//21 .//MAD//punct//21
6 Beskattningsregler och skattekontroll ;Direktiven//NN|NEU|PLU|DEF|NOM//nsubj//33 är//VB|PRS|AKT//conj//2 med//PP//case//38 avseende//NN|NEU|SIN|IND|NOM//fixed//34 på//PP//fixed//34 det//DT|NEU|SIN|DEF//det//38 resultat//NN|NEU|SIN|IND|NOM//obl//33 som//HP|-|-|-//nsubj:pass//41 skall//VB|PRS|AKT//aux//41 uppnås//VB|INF|SFO//acl:relcl//38 bindande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//41 för//PP//case//44 medlemsländerna//NN|NEU|PLU|DEF|NOM//obl//42 .//MAD//punct//33
6 Beskattningsregler och skattekontroll ;Avsikten//NN|UTR|SIN|DEF|NOM//nsubj//51 med//PP//case//50 de//DT|UTR/NEU|PLU|DEF//det//50 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 punktskattereglerna//NN|UTR|PLU|DEF|NOM//nmod//46 är//VB|PRS|AKT//punct//2 bl.a.//AB|AN//advmod//54 att//IE//mark//54 undanröja//VB|INF|AKT//xcomp//51 behovet//NN|NEU|SIN|DEF|NOM//obj//54 av//PP//case//57 gränskontroller//NN|UTR|PLU|IND|NOM//nmod//55 mellan//PP//case//59 medlemsstaterna//NN|UTR|PLU|DEF|NOM//nmod//57 men//KN//cc//62 samtidigt//AB//advmod//62 se//VB|INF|AKT//conj//51 till//PL//compound:prt//62 att//SN//mark//66 varor//NN|UTR|PLU|IND|NOM//nsubj:pass//66 beskattas//VB|PRS|SFO//ccomp//62 i//PP//case//69 det//DT|NEU|SIN|DEF//det//69 land//NN|NEU|SIN|IND|NOM//obl//66 där//HA//advmod//72 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//72 konsumeras//VB|PRS|SFO//acl:relcl//69 .//MAD//punct//2
6 Beskattningsregler och skattekontroll ;Vad//HP|NEU|SIN|IND//nsubj//1 gäller//VB|PRS|AKT//advcl//8 nivån//NN|UTR|SIN|DEF|NOM//obj//1 på//PP//case//4 skatterna//NN|UTR|PLU|DEF|NOM//obl//1 har//VB|PRS|AKT//aux//8 EG//PM|NOM//nsubj//8 inte//AB//advmod//8 beslutat//VB|SUP|AKT//ROOT//8 om//PP//case//11 fasta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 skattesatser//NN|UTR|PLU|IND|NOM//obl//8 .//MAD//punct//8
