6 Trädgårdsnäringens konkurrenssituation ;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//6 med//PP//case//3 detta//DT|NEU|SIN|DEF//det//3 kapitel//NN|NEU|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//6 att//IE//mark//6 redovisa//VB|INF|AKT//ROOT//6 den//DT|UTR|SIN|DEF//det//9 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 trädgårdsnäringens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 struktur//NN|UTR|SIN|IND|NOM//obj//6 och//KN//cc//12 konkurrenskraft//NN|UTR|SIN|IND|NOM//conj//10 ,//MID//punct//10 i//PP//case//17 förhållande//NN|NEU|SIN|IND|NOM//fixed//14 till//PP//fixed//14 Danmark//PM|NOM//obl//6 och//KN//cc//19 Nederländerna//PM|NOM//conj//17 .//MAD//punct//6
6.1 Inledning;I//PP//case//11 statistiken//NN|UTR|SIN|DEF|NOM//obl//12 ingår//VB|PRS|AKT//parataxis//2 endast//AB//advmod//12 de//DT|UTR/NEU|PLU|DEF//det//15 företag//NN|NEU|PLU|IND|NOM//nsubj//12 som//HP|-|-|-//nsubj//17 har//VB|PRS|AKT//acl:relcl//15 en//DT|UTR|SIN|IND//det//19 odlingsareal//NN|UTR|SIN|IND|NOM//obj//17 som//HP|-|-|-//nsubj//24 är//VB|PRS|AKT//cop//24 minst//AB|SUV//advmod//23 200//RG|NOM//nummod//24 m//NN|AN//acl:relcl//19 för//PP//case//26 växthusodling//NN|UTR|SIN|IND|NOM//obl//24 och//KN//cc//30 2//RG|NOM//nummod//29 500//RG|NOM//nummod//30 m//NN|AN//conj//24 för//PP//case//32 frilandsodling//NN|UTR|SIN|IND|NOM//nmod//30 .//MAD//punct//2
6.1 Inledning;Näringen//NN|UTR|SIN|DEF|NOM//nsubj//35 sysselsätter//VB|PRS|AKT//parataxis//2 ca//AB|AN//advmod//37 27//RG|NOM//nummod//38 000//RG|NOM//nummod//39 personer//NN|UTR|PLU|IND|NOM//nmod//44 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//44 ca//AB|AN//advmod//42 10//RG|NOM//nummod//43 000//RG|NOM//nummod//44 årsverken//NN|NEU|PLU|IND|NOM//obj//35 .//MAD//punct//2
6.1 Inledning;År//NN|NEU|SIN|IND|NOM//nmod//1 1996//RG|NOM//nummod//2 fanns//VB|PRT|SFO//ROOT//2 2//RG|NOM//nummod//4 869//RG|NOM//nummod//5 företag//NN|NEU|PLU|IND|NOM//nsubj//2 som//HP|-|-|-//nsubj//7 bedrev//VB|PRT|AKT//acl:relcl//5 odling//NN|UTR|SIN|IND|NOM//obj//7 på//PP//case//10 friland//NN|NEU|SIN|IND|NOM//obl//7 och//KN//cc//15 drygt//AB|POS//advmod//13 1//RG|NOM//nmod//14 414//RG|NOM//nummod//15 företag//NN|NEU|PLU|IND|NOM//conj//10 som//HP|-|-|-//nsubj//17 bedrev//VB|PRT|AKT//acl:relcl//15 växthusodling//NN|UTR|SIN|IND|NOM//obj//17 .//MAD//punct//2
6.1 Inledning;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 företag//NN|NEU|PLU|IND|NOM//nsubj//22 bedriver//VB|PRS|AKT//parataxis//2 båda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 odlingsformerna//NN|UTR|PLU|DEF|NOM//obj//22 parallellt//AB|POS//advmod//22 .//MAD//punct//22
6.1 Inledning;Samtidigt//AB//mark//33 som//HA//fixed//27 ca//AB|AN//advmod//30 1//RG|NOM//nummod//32 500//RG|NOM//nummod//32 företag//NN|NEU|PLU|IND|NOM//nsubj//33 slutat//VB|SUP|AKT//advcl//22 med//PP//case//35 frilandsodling//NN|UTR|SIN|IND|NOM//obl//33 sedan//PP//case//38 år//NN|NEU|SIN|IND|NOM//nmod//38 1984//RG|NOM//obl//33 så//KN//advmod//45 har//VB|PRS|AKT//aux//45 den//DT|UTR|SIN|DEF//det//43 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//43 arealen//NN|UTR|SIN|DEF|NOM//nmod//44 frilandsodling//NN|UTR|SIN|IND|NOM//nsubj//45 ökat//VB|SUP|AKT//conj//2 .//MAD//punct//2
6.1 Inledning;Antalet//NN|NEU|SIN|DEF|NOM//nmod//48 företag//NN|NEU|PLU|IND|NOM//nsubj//53 som//HP|-|-|-//nsubj//50 bedriver//VB|PRS|AKT//acl:relcl//48 växthusodling//NN|UTR|SIN|IND|NOM//obj//50 har//VB|PRS|AKT//aux//53 minskat//VB|SUP|AKT//parataxis//2 de//DT|UTR/NEU|PLU|DEF//det//56 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//56 åren//NN|NEU|PLU|DEF|NOM//obj//53 .//MAD//punct//2
6.1 Inledning;Produktionen//NN|UTR|SIN|DEF|NOM//nsubj//61 har//VB|PRS|AKT//aux//61 dock//AB//advmod//61 ökat//VB|SUP|AKT//parataxis//2 .//MAD//punct//61
6.1 Inledning;Södra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//1 Sverige//PM|NOM//nsubj//2 utgör//VB|PRS|AKT//ROOT//2 centrum//NN|NEU|SIN|IND|NOM//obj//2 för//PP//case//5 trädgårdsodlingen//NN|UTR|SIN|DEF|NOM//obl//2 .//MAD//punct//2
6.1 Inledning;Frukt//NN|UTR|SIN|IND|NOM//nsubj:pass//10 och//KN//cc//9 grönsaker//NN|UTR|PLU|IND|NOM//conj//7 odlas//VB|PRS|SFO//conj//2 framför//PP//case//12 allt//PN|NEU|SIN|IND|SUB/OBJ//obl//10 i//PP//case//16 de//DT|UTR/NEU|PLU|DEF//det//16 södra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 delarna//NN|UTR|PLU|DEF|NOM//nmod//12 av//PP//case//18 Sverige//PM|NOM//nmod//16 .//MAD//punct//2
6.1 Inledning;Bärodlingen//NN|UTR|SIN|DEF|NOM//nsubj//24 är//VB|PRS|AKT//cop//24 dock//AB//advmod//24 mer//AB|KOM//advmod//24 utspridd//PC|PRF|UTR|SIN|IND|NOM//conj//2 över//PP//case//26 landet//NN|NEU|SIN|DEF|NOM//obl//24 .//MAD//punct//24
6.1 Inledning;Blommor//NN|UTR|PLU|IND|NOM//nsubj:pass//29 odlas//VB|PRS|SFO//parataxis//24 i//PP//case//32 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 landet//NN|NEU|SIN|DEF|NOM//obl//29 ,//MID//punct//29 med//PP//case//36 en//DT|UTR|SIN|IND//det//36 koncentration//NN|UTR|SIN|IND|NOM//obl//29 till//PP//case//38 områden//NN|NEU|PLU|IND|NOM//nmod//36 med//PP//case//41 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//41 befolkningstäthet//NN|UTR|SIN|IND|NOM//nmod//38 .//MAD//punct//24
6.1 Inledning;Utplanteringsväxter//NN|UTR|PLU|IND|NOM//nsubj//47 är//VB|PRS|AKT//cop//47 en//DT|UTR|SIN|IND//det//47 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//47 kultur//NN|UTR|SIN|IND|NOM//parataxis//24 i//PP//case//49 mellersta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//nmod//47 och//KN//cc//52 norra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//52 Sverige//PM|NOM//conj//49 .//MAD//punct//24
6.1 Inledning;I//PP//case//1 EU//PM|NOM//obl//2 ingår//VB|PRS|AKT//ROOT//2 trädgårdsprodukter//NN|UTR|PLU|IND|NOM//nsubj//2 i//PP//case//7 den//DT|UTR|SIN|DEF//det//7 gemensamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 jordbrukspolitiken//NN|UTR|SIN|DEF|NOM//obl//2 (//PAD//punct//7 CAP//PM|NOM//appos//7 )//PAD//punct//2 .//MAD//punct//2
6.1 Inledning;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//13 innebär//VB|PRS|AKT//parataxis//2 att//SN//mark//20 det//DT|NEU|SIN|DEF//det//18 traditionella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//18 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//18 sättet//NN|NEU|SIN|DEF|NOM//nsubj//20 att//IE//mark//20 betrakta//VB|INF|AKT//ccomp//13 odlingen//NN|UTR|SIN|DEF|NOM//obj//20 av//PP//case//23 frukt//NN|UTR|SIN|IND|NOM//nmod//21 ,//MID//punct//25 grönsaker//NN|UTR|PLU|IND|NOM//conj//23 och//KN//cc//27 blommor//NN|UTR|PLU|IND|NOM//conj//23 m.m.//AB|AN//conj//23 som//HP|-|-|-//nsubj//34 skilt//VB|SUP|AKT//advmod//32 ifrån//PP//case//32 jordbrukssektorn//NN|UTR|SIN|DEF|NOM//obl//34 har//VB|PRS|AKT//aux//34 upphört//VB|SUP|AKT//acl:relcl//23 .//MAD//punct//13
6.1 Inledning;Näringen//NN|UTR|SIN|DEF|NOM//nsubj//40 har//VB|PRS|AKT//aux//40 tidigare//AB|KOM//advmod//40 inte//AB//advmod//40 blivit//VB|SUP|AKT//parataxis//13 föremål//NN|NEU|SIN|IND|NOM//xcomp//40 för//PP//case//43 ingripande//NN|NEU|SIN|IND|NOM//nmod//41 av//PP//case//46 det//DT|NEU|SIN|DEF//det//46 slag//NN|NEU|SIN|IND|NOM//nmod//43 som//KN//case//48 EU//PM|NOM//nmod//46 ://MID//punct//52 s//NN|AN//nummod//51 marknadsregleringar//NN|UTR|PLU|IND|NOM//obl//52 utgör//VB|PRS|AKT//advcl//40 .//MAD//punct//52
6.1 Inledning;Trädgårdsnäringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//55 omfattades//VB|PRT|SFO//parataxis//52 inte//AB//advmod//55 av//PP//case//60 den//DT|UTR|SIN|DEF//det//60 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//60 jordbruksprisregleringen//NN|UTR|SIN|DEF|NOM//obl:agent//55 som//HP|-|-|-//nsubj:pass//62 avreglerades//VB|PRT|SFO//acl:relcl//60 år//NN|NEU|SIN|IND|NOM//nmod//64 1992//RG|NOM//obl//62 .//MAD//punct//52
6.1 Inledning;Före//PP//case//67 EU-medlemskapet//NN|NEU|SIN|DEF|NOM//obl//13 skyddades//VB|PRT|SFO//xcomp//13 den//DT|UTR|SIN|DEF//det//71 inhemska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//71 marknaden//NN|UTR|SIN|DEF|NOM//nsubj:pass//68 med//PP//case//75 hjälp//NN|UTR|SIN|IND|NOM//fixed//72 av//PP//fixed//72 gränsskydd//NN|NEU|SIN|IND|NOM//obl//68 som//HP|-|-|-//nsubj//77 varierade//VB|PRT|AKT//acl:relcl//75 med//PP//case//81 den//DT|UTR|SIN|DEF//det//81 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//81 säsongen//NN|UTR|SIN|DEF|NOM//obl//77 .//MAD//punct//13
6.1 Inledning;Vidare//AB|KOM//advmod//84 utgick//VB|PRT|AKT//conj//2 stöd//NN|NEU|SIN|IND|NOM//obj//84 för//PP//case//87 rationalisering//NN|UTR|SIN|IND|NOM//nmod//85 ,//MID//punct//89 rådgivning//NN|UTR|SIN|IND|NOM//conj//87 ,//MID//punct//91 forskning//NN|UTR|SIN|IND|NOM//conj//87 och//KN//cc//93 försöksverksamhet//NN|UTR|SIN|IND|NOM//conj//87 samt//KN//cc//95 insatser//NN|UTR|PLU|IND|NOM//conj//87 på//PP//case//97 utbildningsområdet//NN|NEU|SIN|DEF|NOM//nmod//95 .//MAD//punct//2
6.1 Inledning;EU//PM|NOM//nsubj:pass//4 ://MID//punct//0 s//NN|NEU|SIN|IND|GEN//case//3 trädgårdsreglering//NN|UTR|SIN|IND|NOM//obl//4 omfattades//VB|PRT|SFO//ROOT//4 inte//AB//advmod//4 av//PP//case//7 reformeringen//NN|UTR|SIN|DEF|NOM//obl//4 av//PP//case//9 CAP//PM|NOM//nmod//7 som//HP|-|-|-//nsubj:pass//11 genomfördes//VB|PRT|SFO//acl:relcl//9 år//NN|NEU|SIN|IND|NOM//nmod//13 1992//RG|NOM//obl//11 .//MID//punct//4
