Till statsrådet Lars-Erik Lövdén ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 11//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obj//1 1999//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 föreslå//VB|INF|AKT//acl//4 permanenta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 regler//NN|UTR|PLU|IND|NOM//obj//14 för//PP//case//19 kooperativ//NN|NEU|SIN|IND|NOM//amod//19 hyresrätt//NN|UTR|SIN|IND|NOM//obl//14 .//MAD//punct//1
Till statsrådet Lars-Erik Lövdén ;Håkan//PM|NOM//nsubj//9 Julius//PM|NOM//flat:name//0 /Bob//MID//conj//0 Nilsson//PM|NOM//flat:name//0 Hjorth//PM|NOM//flat:name//3 3.2.2//RG|NOM//flat//0 Vilka//HP|UTR/NEU|PLU|IND//det//7 kopplingar//NN|UTR|PLU|IND|NOM//nsubj//9 skall//VB|PRS|AKT//aux//9 finnas//VB|INF|SFO//ROOT//9 mellan//PP//case//11 andels-//NN|NEU|-|-|SMS//obl//9 och//KN//cc//13 3.2.3//RG|NOM//conj//11 Bör//VB|PRS|AKT//aux//16 regler//NN|UTR|PLU|IND|NOM//nsubj//16 finnas//VB|INF|SFO//conj//9 om//PP//mark//25 antalet//NN|NEU|SIN|DEF|NOM//nmod//19 medlemmar//NN|UTR|PLU|IND|NOM//nsubj//25 och//KN//cc//21 4.2.6//RG|NOM//conj//19 Bör//VB|PRS|AKT//aux//25 medlemmen//NN|UTR|SIN|DEF|NOM//nsubj//25 kunna//VB|INF|AKT//aux//25 överlåta//VB|INF|AKT//advcl//16 sin//PS|UTR|SIN|DEF//nmod:poss//27 andel//NN|UTR|SIN|IND|NOM//obj//25 respektive//AB//amod//30 4.2.7//RG|NOM//amod//30 Föreningen//NN|UTR|SIN|DEF|NOM//nsubj//31 säger//VB|PRS|AKT//conj//25 upp//PL//compound:prt//31 eller//KN//cc//34 vägrar//VB|PRS|AKT//conj//31 att//IE//mark//36 förlänga//VB|INF|AKT//xcomp//34 5.2.1//RG|NOM//obj//36 Bör//VB|PRS|AKT//aux//53 ett//DT|NEU|SIN|IND//det//40 regelverk//NN|NEU|SIN|IND|NOM//nsubj//53 mot//PP//case//45 ekonomiskt//AB|POS//advmod//43 ohållbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 projekt//NN|NEU|SIN|IND|NOM//nmod//45 7.2.2//RG|NOM//nmod//40 I//PP//case//48 vilken//HD|UTR|SIN|IND//det//48 utsträckning//NN|UTR|SIN|IND|NOM//nmod//40 är//VB|PRS|AKT//cop//53 1//RG|NOM//nummod//51 §//NN|AN//nmod//52 hyreslagen//NN|UTR|SIN|DEF|NOM//nsubj//53 tillämplig?//PM|NOM//conj//31 ....//MID//punct//53 134//RG|NOM//nummod//56 7.2.3//RG|NOM//nsubj:pass//60 Bör//VB|PRS|AKT//aux//60 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//59 bestämelser//NN|UTR|PLU|IND|NOM//nsubj:pass//60 införas//VB|INF|SFO//parataxis//53 för//PP//case//62 upplåtelse//NN|UTR|SIN|IND|NOM//obl//60


1 Förslag till Lag om kooperativ hyresrätt;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//1 .//MAD//punct//1

1 Förslag till Lag om kooperativ hyresrätt / 1 kap. Inledande bestämmelser;Grundregler//NN|UTR|PLU|IND|NOM//nsubj//9 1//RG|NOM//nummod//2 §//NN|AN//nmod//0 En//DT|UTR|SIN|IND//det//5 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//5 hyresrättsförening//NN|UTR|SIN|IND|NOM//nsubj//9 är//VB|PRS|AKT//cop//9 en//DT|UTR|SIN|IND//det//9 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//9 förening//NN|UTR|SIN|IND|NOM//ROOT//9 som//HP|-|-|-//nsubj//11 har//VB|PRS|AKT//acl:relcl//9 till//PP//case//13 ändamål//NN|NEU|SIN|IND|NOM//obl//11 att//IE//mark//18 till//PP//case//17 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//17 medlemmar//NN|UTR|PLU|IND|NOM//obl//18 upplåta//VB|INF|AKT//advcl//11 lägenheter//NN|UTR|PLU|IND|NOM//obj//18 med//PP//case//21 hyresrätt//NN|UTR|SIN|IND|NOM//obl//18 .//MAD//punct//9
1 Förslag till Lag om kooperativ hyresrätt / 1 kap. Inledande bestämmelser;Upplåtelse//NN|UTR|SIN|IND|NOM//nsubj//25 får//VB|PRS|AKT//aux//25 ske//VB|INF|AKT//parataxis//9 i//PP//case//27 hus//NN|NEU|PLU|IND|NOM//obl//25 som//HP|-|-|-//obj//30 föreningen//NN|UTR|SIN|DEF|NOM//nsubj//30 äger//VB|PRS|AKT//acl:relcl//27 eller//KN//cc//33 av//PP//case//33 lägenheter//NN|UTR|PLU|IND|NOM//obj//30 som//HP|-|-|-//obj//36 föreningen//NN|UTR|SIN|DEF|NOM//nsubj//36 hyr//VB|PRS|AKT//acl:relcl//33 av//PP//case//39 husets//NN|NEU|SIN|DEF|GEN//nmod:poss//39 ägare//NN|UTR|SIN|IND|NOM//obl//36 .//MAD//punct//25
1 Förslag till Lag om kooperativ hyresrätt / 1 kap. Inledande bestämmelser;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 skall//VB|PRS|AKT//aux//2 finnas//VB|INF|SFO//ROOT//2 minst//AB|SUV//advmod//4 tre//RG|NOM//nummod//5 lägenheter//NN|UTR|PLU|IND|NOM//obl//2 avsedda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl//5 att//IE//mark//8 upplåtas//VB|INF|SFO//acl//5 till//PP//case//10 medlemmar//NN|UTR|PLU|IND|NOM//obl//8 .//MAD//punct//2
1 Förslag till Lag om kooperativ hyresrätt / 1 kap. Inledande bestämmelser;2//RG|NOM//nummod//13 §//NN|AN//nmod//14 Hyresrätt//NN|UTR|SIN|IND|NOM//obl//2 som//KN//obj//19 en//DT|UTR|SIN|IND//det//18 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//18 hyresrättsförening//NN|UTR|SIN|IND|NOM//nsubj//19 upplåter//VB|PRS|AKT//acl:relcl//14 till//PP//case//22 en//DT|UTR|SIN|IND//det//22 medlem//NN|UTR|SIN|IND|NOM//obl//19 benämns//VB|PRS|SFO//parataxis//2 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//25 hyresrätt//NN|UTR|SIN|IND|NOM//obl//23 .//MAD//punct//2
1 Förslag till Lag om kooperativ hyresrätt / 1 kap. Inledande bestämmelser;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//6 som//HP|-|-|-//nsubj//2 innehar//VB|PRS|AKT//acl:relcl//0 en//DT|UTR|SIN|IND//det//5 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//5 hyresrätt//NN|UTR|SIN|IND|NOM//obj//2 kallas//VB|PRS|SFO//ROOT//6 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//8 hyresgäst//NN|UTR|SIN|IND|NOM//xcomp//6 .//MAD//punct//6
1 Förslag till Lag om kooperativ hyresrätt / 1 kap. Inledande bestämmelser;3//RG|NOM//nummod//11 §//NN|AN//nmod//12 Lagen//NN|UTR|SIN|DEF|NOM//obl:agent//6 (//PAD//punct//12 1987:667//RG|NOM//appos//12 )//PAD//punct//12 om//PP//mark//19 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 föreningar//NN|UTR|PLU|IND|NOM//nsubj:pass//19 tillämpas//VB|PRS|SFO//acl//12 på//PP//case//22 kooperativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 hyresrättsföreningar//NN|UTR|PLU|IND|NOM//obl//19 med//PP//case//25 de//DT|UTR/NEU|PLU|DEF//det//25 undantag//NN|NEU|PLU|IND|NOM//obl//19 som//HP|-|-|-//nsubj:pass//27 anges//VB|PRS|SFO//acl:relcl//25 i//PP//case//30 denna//DT|UTR|SIN|DEF//det//30 lag//NN|UTR|SIN|IND|NOM//obl//27 .//MAD//punct//6
1 Förslag till Lag om kooperativ hyresrätt / 1 kap. Inledande bestämmelser;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//5 om//PP//case//2 hyra//NN|UTR|SIN|IND|NOM//nmod//0 i//PP//case//4 jordabalken//NN|UTR|SIN|DEF|NOM//obl//2 tillämpas//VB|PRS|SFO//ROOT//5 på//PP//case//8 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//8 hyresrätt//NN|UTR|SIN|IND|NOM//obl//5 med//PP//case//11 de//DT|UTR/NEU|PLU|DEF//det//11 undantag//NN|NEU|PLU|IND|NOM//obl//5 som//HP|-|-|-//nsubj:pass//13 anges//VB|PRS|SFO//acl:relcl//11 i//PP//case//16 denna//DT|UTR|SIN|DEF//det//16 lag//NN|UTR|SIN|IND|NOM//obl//13 .//MAD//punct//5
1 Förslag till Lag om kooperativ hyresrätt / 1 kap. Inledande bestämmelser;Om//SN//mark//20 föreningen//NN|UTR|SIN|DEF|NOM//nsubj//20 hyr//VB|PRS|AKT//advcl//5 en//DT|UTR|SIN|IND//det//22 lägenhet//NN|UTR|SIN|IND|NOM//obj//20 som//HP|-|-|-//obj//28 föreningen//NN|UTR|SIN|DEF|NOM//nsubj//28 i//PP//case//27 sin//PS|UTR|SIN|DEF//nmod:poss//27 tur//NN|UTR|SIN|IND|NOM//obl//28 upplåter//VB|PRS|AKT//acl:relcl//22 till//PP//compound:prt//28 en//DT|UTR|SIN|IND//det//31 medlem//NN|UTR|SIN|IND|NOM//obj//28 eller//KN//cc//33 annan//JJ|POS|UTR|SIN|IND|NOM//conj//31 ,//MID//punct//20 skall//VB|PRS|AKT//aux//49 ,//MID//punct//49 vid//PP//case//38 tillämpning//NN|UTR|SIN|IND|NOM//obl//49 av//PP//case//42 12//RG|NOM//nummod//41 kap.//NN|AN//nmod//42 jordabalken//NN|UTR|SIN|DEF|NOM//nmod//38 och//KN//cc//45 denna//DT|UTR|SIN|DEF//det//45 lag//NN|UTR|SIN|IND|NOM//conj//42 ,//MID//punct//38 upplåtelsen//NN|UTR|SIN|DEF|NOM//nsubj:pass//49 inte//AB//advmod//49 anses//VB|PRS|SFO//conj//20 ske//VB|INF|AKT//xcomp//49 i//PP//case//53 andra//RO|NOM//amod//53 hand//NN|UTR|SIN|IND|NOM//obl//50 .//MAD//punct//49
1 Förslag till Lag om kooperativ hyresrätt / 1 kap. Inledande bestämmelser;Begränsningar//NN|UTR|PLU|IND|NOM//ROOT//0 i//PP//case//3 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 föreningars//NN|UTR|PLU|IND|GEN//nmod//0 rätt//NN|UTR|SIN|IND|NOM//nmod//0 att//IE//mark//6 upplåta//VB|INF|AKT//acl//4 nyttjanderätt//NN|UTR|SIN|IND|NOM//obj//6 4//RG|NOM//nummod//9 §//NN|AN//nmod//12 Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 föreningar//NN|UTR|PLU|IND|NOM//obj//6 än//KN//mark//18 kooperativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 hyresrättsföreningar//NN|UTR|PLU|IND|NOM//nsubj//18 får//VB|PRS|AKT//aux//18 inte//AB//advmod//18 bedriva//VB|INF|AKT//acl//12 verksamhet//NN|UTR|SIN|IND|NOM//obj//18 med//PP//case//21 ändamål//NN|NEU|SIN|IND|NOM//obl//18 att//IE//mark//29 till//PP//case//25 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//25 medlemmar//NN|UTR|PLU|IND|NOM//obl//29 för//PP//case//28 begränsad//PC|PRF|UTR|SIN|IND|NOM//amod//28 tid//NN|UTR|SIN|IND|NOM//nmod//25 upplåta//VB|INF|AKT//acl//12 nyttjanderätt//NN|UTR|SIN|IND|NOM//obj//29 till//PP//case//32 bostadslägenhet//NN|UTR|SIN|IND|NOM//obl//29 .//MAD//punct//0
1 Förslag till Lag om kooperativ hyresrätt / 1 kap. Inledande bestämmelser;Förbud//NN|NEU|SIN|IND|NOM//csubj//8 mot//PP//case//2 upplåtelse//NN|UTR|SIN|IND|NOM//obl//0 av//PP//case//4 andelsrätt//NN|UTR|SIN|IND|NOM//nmod//2 i//PP//case//7 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 fall//NN|NEU|PLU|IND|NOM//nmod//2 finns//VB|PRS|SFO//ROOT//8 i//PP//case//14 1//RG|NOM//nummod//11 kap.//NN|AN//obl//13 8//RG|NOM//nummod//13 §//NN|AN//nmod//14 bostadsrättslagen//NN|UTR|SIN|DEF|NOM//obl//8 (//PAD//punct//14 1991:614//RG|NOM//appos//14 )//PAD//punct//14 .//MAD//punct//8

1 Förslag till Lag om kooperativ hyresrätt / 2 kap. Inträde i och utträde ur föreningen m.m.;Upplåtelseinsats//VB|SUP|SFO//nsubj//6 1//RG|NOM//nummod//2 §//NN|AN//nmod//5 En//DT|UTR|SIN|IND//det//5 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//5 hyresrättsförening//NN|UTR|SIN|IND|NOM//nsubj//6 har//VB|PRS|AKT//ROOT//6 rätt//PL//obj//6 att//IE//mark//9 ta//VB|INF|AKT//acl//7 ut//PL//compound:prt//9 en//DT|UTR|SIN|IND//det//12 upplåtelseinsats//NN|UTR|SIN|IND|NOM//obj//9 i//PP//mark//21 samband//NN|NEU|SIN|IND|NOM//fixed//13 med//PP//mark//21 att//SN//mark//21 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//21 till//PP//case//20 en//DT|UTR|SIN|IND//det//20 medlem//NN|UTR|SIN|IND|NOM//obl//21 upplåter//VB|PRS|AKT//advcl//6 en//DT|UTR|SIN|IND//det//24 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//24 hyresrätt//NN|UTR|SIN|IND|NOM//obj//21 .//MAD//punct//6
1 Förslag till Lag om kooperativ hyresrätt / 2 kap. Inträde i och utträde ur föreningen m.m.;För//PP//case//1 upplåtelseinsatser//NN|UTR|PLU|IND|NOM//obl//2 gäller//VB|PRS|AKT//ROOT//2 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//2 om//PP//case//5 medlemsinsatser//NN|NEU|PLU|IND|NOM//nmod//3 i//PP//case//7 lagen//NN|UTR|SIN|DEF|NOM//nmod//5 (//PAD//punct//9 1987:667//RG|NOM//nmod//5 )//PAD//punct//9 om//PP//case//13 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 föreningar//NN|UTR|PLU|IND|NOM//nmod//5 med//PP//case//16 ett//DT|NEU|SIN|IND//det//16 undantag//NN|NEU|SIN|IND|NOM//nmod//13 .//MAD//punct//2
1 Förslag till Lag om kooperativ hyresrätt / 2 kap. Inträde i och utträde ur föreningen m.m.;Vid//PP//case//19 återbetalning//NN|UTR|SIN|IND|NOM//obl//39 enligt//PP//case//22 4//RG|NOM//nummod//22 kap.//NN|AN//nmod//19 1//RG|NOM//nummod//24 §//NN|AN//nmod//25 lagen//NN|UTR|SIN|DEF|NOM//nmod//19 om//PP//case//28 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 föreningar//NN|UTR|PLU|IND|NOM//nmod//25 skall//VB|PRS|AKT//aux//39 tidpunkten//NN|UTR|SIN|DEF|NOM//nsubj//39 för//PP//case//32 avgång//NN|UTR|SIN|IND|NOM//nmod//30 ,//MID//punct//30 i//PP//mark//39 stället//NN|NEU|SIN|DEF|NOM//fixed//34 för//PP//fixed//34 vad//HP|NEU|SIN|IND//dislocated//39 som//HP|-|-|-//nsubj:pass//39 anges//VB|PRS|SFO//parataxis//2 i//PP//case//42 3//RG|NOM//nummod//42 kap.//NN|AN//nmod//44 5//RG|NOM//nummod//44 §//NN|AN//nmod//46 samma//DT|UTR/NEU|SIN/PLU|IND//det//46 lag//NN|UTR|SIN|IND|NOM//obl//39 ,//MID//punct//48 beräknas//VB|PRS|SFO//conj//2 från//PP//case//50 det//PN|NEU|SIN|DEF|SUB/OBJ//obl//48 att//SN//mark//54 hyresrätten//NN|UTR|SIN|DEF|NOM//nsubj:pass//54 har//VB|PRS|AKT//aux//54 sagts//VB|SUP|SFO//ccomp//48 upp//PL//compound:prt//54 ,//MID//punct//54 om//SN//case//58 medlemmen//NN|UTR|SIN|DEF|NOM//obl//54 när//HA//mark//61 hyresrätten//NN|UTR|SIN|DEF|NOM//nsubj//61 sägs//VB|PRS|SFO//advcl//54 upp//PL//compound:prt//61 inte//AB//advmod//65 har//VB|PRS|AKT//aux//65 begärt//VB|SUP|AKT//xcomp//61 utträde//NN|NEU|SIN|IND|NOM//obj//65 ur//PP//case//68 föreningen//NN|UTR|SIN|DEF|NOM//nmod//66 .//MAD//punct//2
