Sammanfattning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 om//PP//case//4 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//0 har//VB|PRS|AKT//aux//6 haft//VB|SUP|AKT//ROOT//6 som//KN//mark//8 uppdrag//NN|NEU|SIN|IND|NOM//xcomp//6 att//IE//mark//10 se//VB|INF|AKT//acl//8 över//PL//compound:prt//10 och//KN//cc//13 föreslå//VB|INF|AKT//conj//10 de//DT|UTR/NEU|PLU|DEF//det//15 åtgärder//NN|UTR|PLU|IND|NOM//obj//13 som//HP|-|-|-//nsubj:pass//17 behövs//VB|PRS|SFO//acl:relcl//15 för//PP//mark//21 att//IE//mark//21 kunna//VB|INF|AKT//aux//21 anpassa//VB|INF|AKT//advcl//17 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//23 personalförsörjning//NN|UTR|SIN|IND|NOM//obj//21 till//PP//case//27 myndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 uppgifter//NN|UTR|PLU|IND|NOM//obl//21 och//KN//cc//29 behov//NN|NEU|PLU|IND|NOM//conj//27 .//MAD//punct//6
Försvarsmaktens personal och förband;En//DT|UTR|SIN|IND//det//27 förbands-//NN|NEU|-|-|SMS//nsubj:pass//33 och//KN//cc//29 personalreserv//NN|UTR|SIN|IND|NOM//conj//27 kommer//VB|PRS|AKT//aux//33 att//IE//mark//33 kunna//VB|INF|AKT//aux//33 mobiliseras//VB|INF|SFO//conj//7 vid//PP//case//38 en//DT|UTR|SIN|IND//det//38 allvarligt//AB|POS//amod//38 försämrad//PC|PRF|UTR|SIN|IND|NOM//amod//38 omvärldsutveckling//NN|UTR|SIN|IND|NOM//obl//33 .//MAD//punct//7
Försvarsmaktens personal och förband;Stående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 förband//NN|NEU|PLU|IND|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 förband//NN|NEU|PLU|IND|NOM//ROOT//3 med//PP//case//7 en//DT|UTR|SIN|IND//det//7 hög//JJ|POS|UTR|SIN|IND|NOM//amod//7 tillgänglighet//NN|UTR|SIN|IND|NOM//nmod//3 avsedda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl//7 för//PP//case//11 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 insatser//NN|UTR|PLU|IND|NOM//obl//8 i//PP//case//14 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//14 konfliktnivåer//NN|UTR|PLU|IND|NOM//obl//8 .//MAD//punct//3
Försvarsmaktens personal och förband;Hög//JJ|POS|UTR|SIN|IND|NOM//amod//17 tillgänglighet//NN|UTR|SIN|IND|NOM//nsubj//22 och//KN//cc//21 varierande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//21 militär//JJ|POS|UTR|SIN|IND|NOM//amod//21 insatsmiljö//NN|UTR|SIN|IND|NOM//conj//17 ställer//VB|PRS|AKT//parataxis//3 krav//NN|NEU|PLU|IND|NOM//obj//22 på//PP//case//25 förband//NN|NEU|PLU|IND|NOM//obl//22 med//PP//case//30 välutbildade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 och//KN//cc//29 erfarna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//27 officerare//NN|UTR|PLU|IND|NOM//nmod//25 ,//MID//punct//32 specialistofficerare//NN|UTR|PLU|IND|NOM//conj//30 ,//MID//punct//34 gruppbefäl//NN|NEU|PLU|IND|NOM//conj//30 ,//MID//punct//36 soldater//NN|UTR|PLU|IND|NOM//conj//30 och//KN//cc//38 sjömän//NN|UTR|PLU|IND|NOM//conj//30 .//MAD//punct//3
Försvarsmaktens personal och förband;Kontraktsförband//PM|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 förband//NN|NEU|PLU|IND|NOM//ROOT//2 med//PP//case//6 en//DT|UTR|SIN|IND//det//6 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 beredskap//NN|UTR|SIN|IND|NOM//nmod//2 .//MID//punct//2
Försvarsmaktens personal och förband;Kontraktsförband//PM|NOM//nsubj//11 är//VB|PRS|AKT//cop//11 fullt//AB|POS//advmod//11 användbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//2 och//KN//cc//13 tillgängliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//11 för//PP//case//15 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//13 ,//MID//punct//22 men//KN//cc//22 dessa//DT|UTR/NEU|PLU|DEF//det//19 förband//NN|NEU|PLU|IND|NOM//nsubj//22 är//VB|PRS|AKT//cop//22 inte//AB//advmod//22 avsedda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//11 att//IE//mark//24 nyttjas//VB|INF|SFO//advcl//22 i//PP//case//26 insatser//NN|UTR|PLU|IND|NOM//obl//24 på//PP//case//29 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//29 konfliktnivåer//NN|UTR|PLU|IND|NOM//obl//24 på//PP//case//32 samma//DT|UTR/NEU|SIN/PLU|IND//det//32 sätt//NN|NEU|SIN|IND|NOM//obl//24 som//KN//mark//36 de//DT|UTR/NEU|PLU|DEF//det//36 stående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//36 förbanden//NN|NEU|PLU|DEF|NOM//acl//32 .//MAD//punct//11

Internationella jämförelser och slutsatser;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 inhämtat//VB|SUP|AKT//ROOT//2 information//NN|UTR|SIN|IND|NOM//obj//2 genom//PP//mark//6 att//IE//mark//6 skicka//VB|INF|AKT//advcl//2 ut//PL//compound:prt//6 en//DT|UTR|SIN|IND//det//9 enkät//NN|UTR|SIN|IND|NOM//obj//6 med//PP//case//11 frågor//NN|UTR|PLU|IND|NOM//nmod//9 till//PP//case//14 arton//RG|NOM//nummod//14 länder//NN|NEU|PLU|IND|NOM//nmod//11 .//MAD//punct//2
Internationella jämförelser och slutsatser; //_SP////15 Enkäterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//19 har//VB|PRS|AKT//aux//19 hanterats//VB|SUP|SFO//conj//2 av//PP//case//23 de//DT|UTR/NEU|PLU|DEF//det//23 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 försvarsattachéerna//NN|UTR|PLU|DEF|NOM//obl:agent//19 .//MAD//punct//28
Internationella jämförelser och slutsatser;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//28 har//VB|PRS|AKT//aux//28 även//AB//advmod//28 använt//VB|SUP|AKT//conj//2 underlag//NN|NEU|SIN|IND|NOM//obj//28 som//HP|-|-|-//nsubj:pass//31 inhämtats//VB|SUP|SFO//acl:relcl//29 av//PP//case//33 Utredningen//NN|UTR|SIN|DEF|NOM//obl:agent//31 om//PP//case//35 totalförsvarsplikt//NN|UTR|SIN|IND|NOM//nmod//33 och//KN//cc//37 frivillighet//NN|UTR|SIN|IND|NOM//conj//35 (//PAD//punct//33 SOU//PM|NOM//appos//33 2009:63//RG|NOM//obl//31 )//PAD//punct//28 .//MAD//punct//2
Internationella jämförelser och slutsatser;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 från//PP//case//3 svaren//NN|NEU|PLU|DEF|NOM//obl//5 kunnat//VB|SUP|AKT//aux//5 utläsa//VB|INF|AKT//ROOT//5 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 generella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 tendenser//NN|UTR|PLU|IND|NOM//obj//5 och//KN//cc//10 trender//NN|UTR|PLU|IND|NOM//conj//8 .//MAD//punct//5
Internationella jämförelser och slutsatser;Informationsspridning//NN|UTR|SIN|IND|NOM//ROOT//0
Internationella jämförelser och slutsatser;Informationsspridning//NN|UTR|SIN|IND|NOM//nsubj//5 och//KN//cc//2 förankring//NN|UTR|SIN|IND|NOM//conj//0 av//PP//case//4 försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//2 sker//VB|PRS|AKT//ROOT//5 över//PP//case//7 lag//NN|UTR|SIN|IND|NOM//obl//5 i//PP//case//10 tidig//JJ|POS|UTR|SIN|IND|NOM//amod//10 ålder//NN|UTR|SIN|IND|NOM//obl//5 och//KN//cc//17 ofta//AB|POS//advmod//17 inom//PP//case//17 ramen//NN|UTR|SIN|DEF|NOM//fixed//13 för//PP//fixed//13 skolans//NN|UTR|SIN|DEF|GEN//nmod:poss//17 verksamhet//NN|UTR|SIN|IND|NOM//conj//10 .//MAD//punct//5
Internationella jämförelser och slutsatser;Omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 informations-//NN|UTR|-|-|SMS//nsubj:pass//23 och//KN//cc//22 kunskapssatsningar//NN|UTR|PLU|IND|NOM//conj//20 genomförs//VB|PRS|SFO//parataxis//5 skilt//PC|PRF|NEU|SIN|IND|NOM//advmod//23 från//PP//case//28 den//DT|UTR|SIN|DEF//det//28 direkta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//28 rekryteringen//NN|UTR|SIN|DEF|NOM//obl//23 och//KN//cc//30 marknadsföringen//NN|UTR|SIN|DEF|NOM//conj//28 som//HP|-|-|-//nsubj//32 sker//VB|PRS|AKT//acl:relcl//30 längre//AB|KOM//advmod//34 fram//AB//advmod//32 .//MAD//punct//5
Internationella jämförelser och slutsatser;Kvinnor//NN|UTR|PLU|IND|NOM//ROOT//0 i//PP//case//2 försvaret//NN|NEU|SIN|DEF|NOM//nmod//0
Internationella jämförelser och slutsatser;Särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//1 satsningar//NN|UTR|PLU|IND|NOM//nsubj//6 för//PP//mark//4 att//IE//mark//4 nå//VB|INF|AKT//acl//1 kvinnor//NN|UTR|PLU|IND|NOM//obj//4 ger//VB|PRS|AKT//ROOT//6 tydliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 resultat//NN|NEU|PLU|IND|NOM//obj//6 .//MID//punct//6
Internationella jämförelser och slutsatser;Samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//11 länder//NN|NEU|PLU|IND|NOM//nsubj//12 redovisar//VB|PRS|AKT//parataxis//6 en//DT|UTR|SIN|IND//det//16 kraftigt//AB|POS//advmod//15 ojämn//JJ|POS|UTR|SIN|IND|NOM//amod//16 könsfördelning//NN|UTR|SIN|IND|NOM//obj//12 men//KN//cc//19 de//DT|UTR/NEU|PLU|DEF//det//19 länder//NN|NEU|PLU|IND|NOM//conj//12 som//HP|-|-|-//nsubj//22 aktivt//AB|POS//advmod//22 arbetar//VB|PRS|AKT//acl:relcl//19 för//PP//mark//25 att//IE//mark//25 öka//VB|INF|AKT//advcl//22 andelen//NN|UTR|SIN|DEF|NOM//obj//25 kvinnor//NN|UTR|PLU|IND|NOM//nsubj//35 har//VB|PRS|AKT//aux//35 i//PP//case//30 genomsnitt//NN|NEU|SIN|IND|NOM//obl//28 dubbelt//AB|POS//advmod//32 så//AB//advmod//33 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 kvinnor//NN|UTR|PLU|IND|NOM//nsubj//35 anställda//NN|UTR|PLU|IND|NOM//obj//25 som//KN//case//38 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 länder//NN|NEU|PLU|IND|NOM//obl//35 .//MAD//punct//6
Internationella jämförelser och slutsatser;Behålla//VB|INF|AKT//ROOT//0 personal//NN|UTR|SIN|IND|NOM//nmod//2 anställningstiden//NN|UTR|SIN|DEF|NOM//obj//0 ut//AB//compound:prt//0
Internationella jämförelser och slutsatser;Det//DT|NEU|SIN|DEF//det//2 största//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//2 bemanningsproblemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//3 uppges//VB|PRS|SFO//ROOT//3 vara//VB|INF|AKT//xcomp//3 att//IE//mark//6 få//VB|INF|AKT//csubj//3 personalen//NN|UTR|SIN|DEF|NOM//obj//6 att//IE//mark//9 stanna//VB|INF|AKT//xcomp//6 anställningstiden//NN|UTR|SIN|DEF|NOM//obj//9 ut//AB//compound:prt//9 .//MID//punct//3
Internationella jämförelser och slutsatser;Flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//14 faktorer//NN|UTR|PLU|IND|NOM//nsubj//15 påverkar//VB|PRS|AKT//parataxis//3 detta//PN|NEU|SIN|DEF|SUB/OBJ//obj//15 och//KN//cc//18 ländernas//NN|NEU|PLU|DEF|GEN//nmod:poss//19 åtgärder//NN|UTR|PLU|IND|NOM//obj//15 för//PP//mark//22 att//IE//mark//22 få//VB|INF|AKT//acl//19 personalen//NN|UTR|SIN|DEF|NOM//obj//22 att//IE//mark//25 stanna//VB|INF|AKT//xcomp//22 skiljer//VB|PRS|AKT//xcomp//25 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//26 åt//PP//compound:prt//26 .//MAD//punct//15
Internationella jämförelser och slutsatser;En//DT|UTR|SIN|IND//det//32 återkommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 faktor//NN|UTR|SIN|IND|NOM//parataxis//15 som//HP|-|-|-//nsubj//34 bidrar//VB|PRS|AKT//acl:relcl//32 till//PP//case//37 tidiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 avhopp//NN|NEU|PLU|IND|NOM//obl//34 är//VB|PRS|AKT//cop//41 ett//DT|NEU|SIN|IND//det//41 högt//JJ|POS|NEU|SIN|IND|NOM//amod//41 insatstempo//NN|NEU|SIN|IND|NOM//conj//15 med//PP//case//44 mycket//JJ|POS|NEU|SIN|IND|NOM//amod//44 frånvaro//NN|UTR|SIN|IND|NOM//obl//41 från//PP//case//46 hem//NN|NEU|SIN|IND|NOM//nmod//44 och//KN//cc//48 familj//NN|UTR|SIN|IND|NOM//conj//46 .//MID//punct//15
Internationella jämförelser och slutsatser;Att//SN//mark//52 individen//NN|UTR|SIN|DEF|NOM//nsubj//52 upplever//VB|PRS|AKT//ccomp//15 tjänstgöringstiden//NN|UTR|SIN|DEF|NOM//obj//52 som//KN//mark//56 icke//AB//advmod//56 meningsfull//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//53 och//KN//cc//58 tiden//NN|UTR|SIN|DEF|NOM//conj//56 efter//PP//compound:prt//52 som//KN//mark//61 osäker//JJ|POS|UTR|SIN|IND|NOM//obj//62 gör//VB|PRS|AKT//conj//52 också//AB//advmod//62 att//SN//mark//66 individerna//NN|UTR|PLU|DEF|NOM//nsubj//66 söker//VB|PRS|AKT//ccomp//62 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//66 vidare//AB|KOM//advmod//66 i//PP//case//70 förtid//NN|UTR|SIN|IND|NOM//obl//66 .//MAD//punct//15
Internationella jämförelser och slutsatser;Genomsnittlig//JJ|POS|UTR|SIN|IND|NOM//amod//1 anställningstid//NN|UTR|SIN|IND|NOM//ROOT//1
Internationella jämförelser och slutsatser;Tidsbegränsade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//csubj//3 anställningar//NN|UTR|PLU|IND|NOM//obj//0 är//VB|PRS|AKT//cop//3 vanligt//JJ|POS|NEU|SIN|IND|NOM//ROOT//3 för//PP//case//5 personal//NN|UTR|SIN|IND|NOM//obl//3 som//HP|-|-|-//nsubj//8 är//VB|PRS|AKT//cop//8 anställd//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//5 i//PP//case//10 försvaret//NN|NEU|SIN|DEF|NOM//obl//8 .//MAD//punct//3
Internationella jämförelser och slutsatser;Anställningstiden//NN|UTR|SIN|DEF|NOM//nsubj//13 varierar//VB|PRS|AKT//parataxis//3 stort//AB//advmod//13 mellan//PP//case//16 länderna//NN|NEU|PLU|DEF|NOM//obl//13 ,//MID//punct//19 ofta//AB|POS//advmod//19 finns//VB|PRS|SFO//conj//3 dock//AB//advmod//19 en//DT|UTR|SIN|IND//det//24 längsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//24 möjliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 anställningstid//NN|UTR|SIN|IND|NOM//nsubj//19 fastslagen//PC|PRF|UTR|SIN|IND|NOM//obj//19 .//MAD//punct//3
Internationella jämförelser och slutsatser;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//30 har//VB|PRS|AKT//aux//30 varit//VB|SUP|AKT//cop//30 svårt//JJ|POS|NEU|SIN|IND|NOM//parataxis//3 att//IE//mark//32 dra//VB|INF|AKT//csubj//30 några//DT|UTR/NEU|PLU|IND//det//34 slutsatser//NN|UTR|PLU|IND|NOM//obj//32 av//PP//case//36 underlagen//NN|NEU|PLU|DEF|NOM//nmod//34 då//HA//mark//39 länderna//NN|NEU|PLU|DEF|NOM//nsubj//39 valt//VB|SUP|AKT//advcl//32 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 lösningar//NN|UTR|PLU|IND|NOM//obj//39 .//MAD//punct//30
